time,energy
352,1.2310622855517843e+34
353,1.231201594399365e+34
354,1.2313480925963092e+34
355,1.2315009083649053e+34
356,1.2316591335291515e+34
357,1.2318218274054915e+34
358,1.2319880212230204e+34
359,1.2321567230824427e+34
360,1.2323269234529504e+34
361,1.232497601194674e+34
362,1.23266773008171e+34
363,1.2328362857871267e+34
364,1.23300225327712e+34
365,1.233164634547054e+34
366,1.233322456617899e+34
367,1.2334747796980984e+34
368,1.2336207054037152e+34
369,1.2337593849193415e+34
370,1.2338900269743169e+34
371,1.234011905503693e+34
372,1.2341243668616441e+34
373,1.2342268364568374e+34
374,1.2343188246849604e+34
375,1.2343999320430663e+34
376,1.2344698533235851e+34
377,1.2345283808024072e+34
378,1.234575406354929e+34
379,1.2346109224557078e+34
380,1.234635022040725e+34
381,1.2346478972353174e+34
382,1.2346498369748263e+34
383,1.2346412235680173e+34
384,1.2346225282745853e+34
385,1.2345943059868589e+34
386,1.2345571891215604e+34
387,1.2345118808397416e+34
388,1.2344591477215486e+34
389,1.2343998120271336e+34
390,1.2343347436759447e+34
391,1.2342648520739695e+34
392,1.234191077912662e+34
393,1.2341143850546303e+34
394,1.2340357526103235e+34
395,1.233956167297338e+34
396,1.233876616160275e+34
397,1.2337980797147373e+34
398,1.2337215255646428e+34
399,1.2336479025279457e+34
400,1.2335781352925277e+34
401,1.2335131196116737e+34
402,1.2334537180375228e+34
403,1.2334007561812115e+34
404,1.2333550194802733e+34
405,1.2333172504471643e+34
406,1.2332881463674831e+34
407,1.2332683574123966e+34
408,1.2332584851267703e+34
409,1.2332590812523633e+34
410,1.233270646844046e+34
411,1.2332936316363716e+34
412,1.233328433618157e+34
413,1.2333753987742807e+34
414,1.2334348209567818e+34
415,1.2335069418515548e+34
416,1.2335919510118636e+34
417,1.2336899859350363e+34
418,1.233801132163325e+34
419,1.2339254233938262e+34
420,1.2340628415855793e+34
421,1.2342133170548525e+34
422,1.2343767285525173e+34
423,1.23455290332056e+34
424,1.234741617128272e+34
425,1.2349425942924208e+34
426,1.2351555076896913e+34
427,1.2353799787737245e+34
428,1.2356155776131153e+34
429,1.2358618229706826e+34
430,1.2361181824481165e+34
431,1.2363840727237058e+34
432,1.2366588599141823e+34
433,1.2369418600947342e+34
434,1.2372323400138362e+34
435,1.237529518041655e+34
436,1.2378325653922757e+34
437,1.2381406076607622e+34
438,1.238452726715958e+34
439,1.2387679629888407e+34
440,1.2390853181939937e+34
441,1.23940375851826e+34
442,1.2397222183057085e+34
443,1.2400396042616773e+34
444,1.2403548001907053e+34
445,1.2406666722737195e+34
446,1.2409740748789416e+34
447,1.241275856888836e+34
448,1.2415708685122255e+34
449,1.2418579685368772e+34
450,1.2421360319636523e+34
451,1.2424039579492443e+34
452,1.242660677970869e+34
453,1.2429051641135947e+34
454,1.2431364373696143e+34
455,1.2433535758293828e+34
456,1.2435557226374747e+34
457,1.2437420935819837e+34
458,1.243911984185613e+34
459,1.2440647761696345e+34
460,1.2441999431688352e+34
461,1.2443170555863324e+34
462,1.2444157844915843e+34
463,1.2444959044826136e+34
464,1.2445572954539056e+34
465,1.2445999432338964e+34
466,1.2446239390797562e+34
467,1.2446294780413047e+34
468,1.2446168562296933e+34
469,1.2445864670489391e+34
470,1.2445387964688618e+34
471,1.2444744174357012e+34
472,1.2443939835312354e+34
473,1.2442982220020946e+34
474,1.244187926288103e+34
475,1.2440639481817418e+34
476,1.2439271897503723e+34
477,1.2437785951489913e+34
478,1.2436191424443387e+34
479,1.2434498355616556e+34
480,1.2432716964538108e+34
481,1.243085757579442e+34
482,1.2428930547627386e+34
483,1.2426946204930585e+34
484,1.2424914777082128e+34
485,1.2422846340913425e+34
486,1.2420750768982762e+34
487,1.2418637683202793e+34
488,1.2416516413764354e+34
489,1.2414395963206674e+34
490,1.2412284975406036e+34
491,1.2410191709192335e+34
492,1.2408124016254104e+34
493,1.2406089322957885e+34
494,1.240409461568505e+34
495,1.2402146429278342e+34
496,1.2400250838188815e+34
497,1.239841344992152e+34
498,1.2396639400392837e+34
499,1.2394933350833058e+34
500,1.2393299485893673e+34
501,1.239174151264812e+34
502,1.2390262660207713e+34
503,1.2388865679709154e+34
504,1.2387552844466826e+34
505,1.238632595012088e+34
506,1.2385186314650832e+34
507,1.2384134778163682e+34
508,1.2383171702405133e+34
509,1.2382296969982195e+34
510,1.2381509983325436e+34
511,1.2380809663458627e+34
512,1.2380194448683177e+34
513,1.237966229332373e+34
514,1.237921066671972e+34
515,1.2378836552685111e+34
516,1.2378536449694555e+34
517,1.2378306372088385e+34
518,1.2378141852620355e+34
519,1.2378037946700214e+34
520,1.2377989238707143e+34
521,1.2377989850768585e+34
522,1.2378033454411051e+34
523,1.2378113285493677e+34
524,1.2378222162830475e+34
525,1.2378352510891797e+34
526,1.2378496386948531e+34
527,1.2378645512982313e+34
528,1.2378791312631328e+34
529,1.2378924953372623e+34
530,1.2379037394058543e+34
531,1.237911943782699e+34
532,1.2379161790293517e+34
533,1.237915512280918e+34
534,1.237909014043422e+34
535,1.2378957654136392e+34
536,1.237874865657869e+34
537,1.237845440071779e+34
538,1.237806648029797e+34
539,1.2377576911199814e+34
540,1.2376978212495485e+34
541,1.2376263485977474e+34
542,1.2375426492871152e+34
543,1.2374461726417372e+34
544,1.23733644790226e+34
545,1.2372130902722233e+34
546,1.2370758061787036e+34
547,1.2369243976420435e+34
548,1.23675876566424e+34
549,1.2365789125629546e+34
550,1.236384943197854e+34
551,1.2361770650579102e+34
552,1.2359555872022147e+34
553,1.235720918072217e+34
554,1.2354735622190057e+34
555,1.2352141160136364e+34
556,1.234943262429897e+34
557,1.234661765006042e+34
558,1.234370461104508e+34
559,1.234070254596655e+34
560,1.2337621081037444e+34
561,1.2334470349261392e+34
562,1.233126090790541e+34
563,1.2328003655400055e+34
564,1.2324709748838728e+34
565,1.2321390523147167e+34
566,1.2318057412874657e+34
567,1.2314721877424442e+34
568,1.2311395330397976e+34
569,1.2308089073582128e+34
570,1.2304814235964672e+34
571,1.2301581718026424e+34
572,1.2298402141430981e+34
573,1.2295285804117905e+34
574,1.2292242640703852e+34
575,1.2289282188009414e+34
576,1.2286413555457765e+34
577,1.2283645400033948e+34
578,1.2280985905450865e+34
579,1.2278442765137916e+34
580,1.2276023168650479e+34
581,1.2273733791091149e+34
582,1.227158078513584e+34
583,1.2269569775267956e+34
584,1.2267705853840786e+34
585,1.2265993578610552e+34
586,1.2264436971409426e+34
587,1.226303951765805e+34
588,1.2261804166450065e+34
589,1.2260733330976111e+34
590,1.2259828889091225e+34
591,1.2259092183867158e+34
592,1.2258524024009518e+34
